product_id,pro_name
4,Coffee coco butter ylang ylang soap 125gm (Copy)
5,OW' Real Tulsi Green Tea + Saffron -25 bags
10,Aum Fresh Sundarikalp Tea 50 gm (25 Tea Bags)
11,Baby natural laundry wash 1000 ml
12,Kairali Amruthotharam Kashayam (200 ml)
13,Aum Fresh Nidrakar Tea 50 gm (25 Tea Bags)
14,Aum Fresh Memory Tea 50 gm (25 Tea Bags)
15,Kairali Balaguluchyedi Kashayam (200 ml)
16,Aum Fresh Gas Relief Tea 50 gm (25 Tea Bags)
17,Aum Fresh Vajikaran Tea 50gm (25 Tea Bags)
18,Kairali Cheriya Rasnadi Kashayam (200 ml)
19,Aum Fresh Shwas Tea 50 gm (25 Tea Bags)
20,Aum Fresh Stress Free Tea 50 gm (25 Tea Bags)
21,Kairali Chiruvilwadi Kashayam (200 ml)
22,Aum Fresh Sandhivata Tea 50 gm (25 Tea Bags)
23,Kairali Dasamooladi Kashayam (200 ml)
24,Aum Fresh Medohar Tea 50 gm (25 Tea Bags)
25,Aum Fresh Skin Glow Tea 50 gm (25 Tea Bags)
26,Aum Fresh Pachak Tea 50 gm (25 Tea Bags)
27,Aum Fresh Hridya Tea 50 gm (25 Tea Bags)
28,Aum Fresh Cold Relief Tea 50 gm (25 Tea Bags)
29,Kairali Dhanwantharam Kashayam (200 ml)
30,Kairali Drakshadi Kashayam (200 ml)
31,Kairali Guggulu Thiktham Kashayam (200 ml)
32,Aum Fresh Masala Chai 50 gm (25 Tea Bags)
33,Kairali Indukantham Kashayam (200 ml)
34,Kairali Sahacharadi Kashayam (200 ml)
35,Kairali Sukumaram Kashayam (200 ml)
37,Kairali Valiya Rasnadi Kashayam (200 ml)
38,Chamong Organic Darjeeling Regular Tea Bag Combo  ( 25 X 4 Box = 100 Tea Bags)
39,Kairali Varanadi Kashayam (200 ml)
40,Kairali Nishakathakadi Kashayam (200 ml)
41,Chamong Organic Lemon Green Regular Tea Bag Combo ( 25 X 4 Box = 100 Tea Bags)
42,Chamong Organic Lemon Splash Envelope Tea Bag ( 25 X 1 Box = 25 Tea Bags )
43,Kairali Dadimadi gritham 150gms
45,Kairali Kalyana Gudam (250 grams)
46,Kairali Manibhadra Gudam (250 grams)
47,Kairali Narasimha Rasayanam (250 grams)
48,Kairali Thrivrith Lehyam (250 grams)
49,Kairali Chandraprabha Gulika (100 Pills)
50,Chamong Organic Darjeeling Green Envelope Tea Bag Combo ( 25 X 4 Box = 100 Tea Bags )
51,Kairali Dhanwantharam Gulika (100 Pills)
52,Kairali Kaisore Guggulu (100 Pills)
53,Chamong Organic Darjeeling Green Envelope Tea Bag ( 25 X 1 Box = 25 Tea Bags )
54,Kairali Manasamitram Gulika (100 Pills)
55,Chamong Organic Lemon Green Regular Tea Bag ( 25 X 2 Box = 50 Tea Bags )
56,Kairali Yograj Guggulu (100 Pills)
57,Chamong Organic Tulsi Green Envelope Tea Bag Combo ( 25 X 4 Box = 100 Tea Bags )
58,Chamong Organic Tulsi Green Envelope Tea Bag ( 25 X 1 Box = 25 Tea Bags )
59,Kairali ashta choornam 50gms
60,Kairali avipathy choornam 50gms
61,Kairali Dasanakanthi Choornam (50 grams)
62,Kairali eladi choornam 50gms
63,Amla & Ashwagandha powder 200gm
64,Aumfresh Amla powder 200gm
65,Kairali Gulgulupanchapalam Choornam (50 grams)
66,Aumfresh Chives flakes 50gm
67,Aumfresh Garlic granules 50gm
68,Aumfresh Ginger powder 200gm
69,Kairali Hinguvachadi Choornam (50 grams)
70,Aumfresh Lemon grass powder 50gm
71,Aumfresh Moringa leaf powder 150gm
72,Kairali Kachoradi Choornam (10 grams)
73,Aumfresh Wheat grass powder 100gm
74,Kairali Kachoradi Choornam (50 grams)
75,Aumfresh Barley grass powder 100gm
76,Aumfresh Spinach powder 150gm
77,Aumfresh Spring Onion Flakes 50 gm
78,Aumfresh Triphala powder 200gm
79,Aumfresh Tulsi flakes 100gm
80,Aumfresh Turmeric Powder 200 gm
81,Kairali Kottamchukkadi Choornam (100 grams)
82,Kairali Nimbadi Choornam (50 grams)
