category_name,subcat_name
Root Catalog,['Arogyarahasya Category']
Arogyarahasya Category,"['Organic Food', 'Beauty Care', 'Cow Products', 'Ayurvedic Supplements', 'Home Enlightenment', 'Combo Packs', 'Brand']"
Organic Food,"['Rice', 'Oils and Ghee', 'Sugar and Salts', 'Flours', 'Pulses', 'Honey', 'Jaggery', 'Condiments', 'Nuts and Dry Fruits', 'Tea and Coffee', 'Snacks', 'Spices', 'Cereals', 'Juices', 'Venigars']"
Beauty Care,"['Face Care', 'Hair Care', 'Body Care', 'Premium Soaps and Face Packs', 'Eye Care', 'Oils', 'Baby Care']"
Cow Products,"['Ark', 'Ghee', 'Prana Shakthi', 'Floor Cleaners', 'Soaps', 'Dung Cakes']"
Ayurvedic Supplements,"[""Ayurvedic Churna's"", 'Personal Care', 'Health Condition', 'Ayurvedic Juices', 'Pain Relief Oils And Powder', 'Supplements', 'Hair, Skin and Bones']"
Home Enlightenment,"['Dhoop Sticks Coils', 'Freshners and Perfumes', 'Cd', 'Books', 'Kiddy Banks', 'Board Games', 'Lamps', 'Room Cleanser', 'Floor Cleaners', 'Iron Utensils', 'Copper Utensils', 'Brass utensils']"
Rice,"['White rice', 'Brown rice', 'Red rice', 'Basmathi Rice', 'Black Rice', 'Sona Masoori Hand Pound Rice', 'Sonamasoori Polished Rice']"
Oils and Ghee,"['Sunflower oil', 'Coconut oil', 'Groundnut oil', 'Safflower', 'Mustard oil', 'Narayan tel', 'Essentail oils', 'Ghee', 'Black Seseame Oil', 'Rice Barn Oil', 'Olive Oil']"
Sugar and Salts,[]
Flours,"['Rice flour', 'Besan flour', 'Wheat flour', 'Bajra flour', 'Corn flour', 'Maida flour', 'Ragi flour', 'Jowar flour']"
Pulses,"['Chana dal', 'Toor dal', 'Bengal gram', 'Green Moong Dal', 'Masoor Dal', 'Moong Dal', 'Urad Dal']"
Face Care,"['Soaps', 'Face wash', 'Rose water']"
Hair Care,"['Shampoo', 'Hair oil', 'Henna', 'Soaps', 'Hair Care Powder', 'Combs']"
Body Care,"['Bath powder', 'Skin care', 'Butter', 'Hand wash']"
Premium Soaps and Face Packs,"['Face packs', 'Soaps', 'Creams', 'Face Toner']"
Eye Care,"['Kajal', 'Netra Jyothi']"
Ark,[]
Ghee,[]
Ayurvedic Churna's,"['Amla churna', 'kashayam', 'Memory booster']"
Personal Care,"['Men', 'Female']"
Health Condition,"['Antioxidant', 'Brain and Memory', 'Breast', 'Digestive Health', 'Heart', 'Immunity', 'Liver Health', 'Sexual', 'Sugar Control', 'Weight Loss', 'General Health', 'Infertility', 'UTI', 'PMS', 'Eyes and Vision', 'Piles']"
Ayurvedic Juices,"['Juice', 'Syrup', 'Ark']"
Pain Relief Oils And Powder,[]
Dhoop Sticks Coils,"['Dhoop sticks', 'Agarbatti', 'Mosquito coils']"
